1	8.264		
2	8.329		
3	8.394		
4	8.46		
5	8.525		
6	8.578		
7	8.63		
8	8.682		
9	8.731		
10	8.769		
11	8.806		
12	8.844		
13	8.881		
14	8.919		
15	8.959		
16	8.998		
17	9.037		
18	9.077		
19	9.122		
20	9.168		
21	9.214		
22	9.259		
23	9.304		
24	9.347		
25	9.389		
26	9.432		
27	9.474		
28	9.516		
29	9.568		
30	9.63		
31	9.691		
32	9.753		
33	9.819		
34	9.889		
35	9.958		
36	10.027		
37	10.109		
38	10.195		
39	10.28		
40	10.366		
41	10.452		
42	10.541		
43	10.629		
44	10.715		
45	10.791		
46	10.872		
47	10.979		
48	10.944		
49	10.906		
50	10.869		
51	10.777		
52	10.674		
53	10.556		
54	10.449		
55	10.383		
56	10.318		
57	10.253		
58	10.194		
59	10.134		
60	10.075		
61	10.025		
62	9.987		
63	9.949		
64	9.91		
65	9.872		
66	9.841		
67	9.811		
68	9.781		
69	9.752		
70	9.722		
71	9.701		
72	9.684		
73	9.666		
74	9.649		
75	9.631		
76	9.608		
77	9.583		
78	9.557		
79	9.532		
80	9.506		
81	9.481		
82	9.465		
83	9.454		
84	9.443		
85	9.432		
86	9.42		
87	9.409		
88	9.405		
89	9.402		
90	9.399		
91	9.397		
92	9.394		
93	9.391		
94	9.389		
95	9.386		
96	9.354		
97	9.288		
98	9.223		
99	9.157		
			8.96E+06
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
